"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"AirtonDavila77","2026-01-06","13:56:11","@BolsonaroSP @policiafederal Porque a Magnitsky foi anulada para o Moraes?",0,74,10,0,2,0,0,"",0.007670562248677015,0.7372196912765503,0.25510984659194946,"neutro"
"elisabe28022406","2026-01-06","12:48:47","@joao8_32_JB @BolsonaroSP @policiafederal Exato! Coragem e honra, não é para qualquer um! #Bolsonato2026 #BolsonaroLivre",0,120,14,0,3,1,0,"",0.9385008811950684,0.053425028920173645,0.008074134588241577,"positivo"
"AnaMiclas","2026-01-06","12:45:33","@SouFlamengo8119 @delaurentiis_br @BolsonaroSP @policiafederal Essa história que é documentada pela história. Agora, me explica uma coisa: se não é verdade, pq o Bolsonaro disse q o Ustra era o ""terror"" da Dilma Roussef, será q foi uma mentira q contaram para ele? Ele mesmo disse q apoia a tortura, tu acha q tortura é olhar pra cara dele?",0,340,58,0,4,0,0,"",0.017935656011104584,0.1571374386548996,0.8249268531799316,"negativo"
"elisabe28022406","2026-01-06","12:43:31","@VladimirAlves @BolsonaroSP @policiafederal E desde quando o Brasil está seguindo as leis?",0,90,12,0,3,0,0,"",0.009425010532140732,0.15127091109752655,0.8393041491508484,"negativo"
"SouFlamengo8119","2026-01-06","12:26:45","@AnaMiclas @delaurentiis_br @BolsonaroSP @policiafederal Essa história triste que te contaram? Ou vc propaga da sua cabeça mesmo?",0,129,17,0,4,0,0,"",0.004509615711867809,0.04278881475329399,0.9527015686035156,"negativo"
"AnaMiclas","2026-01-06","01:28:07","@SouFlamengo8119 @delaurentiis_br @BolsonaroSP @policiafederal Acho que os primeiros intolerantes são aqueles que homenageiam torturador que estuprava mulheres na frente dos filhos pequenos, não? Gente assim eu não tolero mesmo Ou os tolerantes têm que tolerar qq coisa? Mesmo quem deseja sua morte? https://t.co/Blr7dwRgey",1,323,43,0,4,1,0,"",0.0047549656592309475,0.012239132076501846,0.983005940914154,"negativo"
"LuizAnselmoDeA2","2026-01-05","23:15:06","@BolsonaroSP @policiafederal O ex presidente Fenando Collor não usou ferro de solda para romper a tornozeleira.",0,111,16,0,2,1,0,"",0.010199913755059242,0.949079692363739,0.04072039946913719,"neutro"
"ArturFernandoP","2026-01-05","22:00:54","@CombativeAdvoc @VladimirAlves @BolsonaroSP @policiafederal Qual parte do território nacional ele tentou submeter à soberania de outro país, anta ? Você já nasceu burro ou fez curso?",0,182,26,0,4,0,0,"",0.00666265282779932,0.05557292327284813,0.9377643465995789,"negativo"
"CombativeAdvoc","2026-01-05","19:40:25","@ArturFernandoP @VladimirAlves @BolsonaroSP @policiafederal Art. 9º Consideram-se crimes militares, em tempo de paz: I - os CRIMES DE QUE TRATA ÊSTE CÓDIGO, quando definidos de modo diverso na lei penal comum, ou nela não previstos, QUALQUER QUE SEJA O AGENTE, salvo disposição especial; 👉Tentou subm o território Brasil à lei Magnistik",0,336,51,1,4,0,0,"",0.050702665001153946,0.8213624358177185,0.12793493270874023,"neutro"
"CombativeAdvoc","2026-01-05","19:36:11","@ArturFernandoP @VladimirAlves @BolsonaroSP @policiafederal E é o quê, burro? CÓDIGO PENAL MILITAR: Tentativa contra a soberania do Brasil Art. 142. Tentar: I - submeter o território nacional, ou parte dele, à soberania de país estrangeiro; Pena - reclusão, de 15 a 30 anos, para os cabeças; de dez a vinte anos, para os demais agentes.👇",0,337,55,1,4,0,0,"",0.009684927761554718,0.09123716503381729,0.8990778923034668,"negativo"
"richellysl","2026-01-05","19:34:01","@BolsonaroSP @policiafederal O POVO BRASILEIRO CONTINUA PAGANDO O SALÁRIO DESSE VERME QUE NÃO VAI TRABALHAR E FICA FALANDO BABOSEIRA NA INTERNET E ESTÁ DE FÉRIAS SEM DATA PARA VOLTA…SINCERAMENTE OLHA",0,199,30,0,2,0,0,"",0.0030066603794693947,0.008204937912523746,0.9887884259223938,"negativo"
"Possato2","2026-01-05","16:29:03","@BolsonaroSP @policiafederal Quando esse regime cair, e vai cair, você terá seu posto restituído e ainda será indenizado pela perseguição que sofre.",0,148,22,0,2,0,0,"",0.028796514496207237,0.18483231961727142,0.7863710522651672,"negativo"
"bar74125","2026-01-05","13:43:39","@delaurentiis_br @BolsonaroSP @policiafederal Sim,um vagabundo!!!",0,65,5,0,3,0,0,"",0.0072910599410533905,0.02337304875254631,0.9693358540534973,"negativo"
"bar74125","2026-01-05","13:41:30","@BolsonaroSP @policiafederal Favor que vc me faz ficando longe do nosso lindo brasil!!!",0,87,13,0,2,1,0,"",0.031601887196302414,0.04535433650016785,0.9230436682701111,"negativo"
"cacotimaotimao","2026-01-05","13:21:28","@BolsonaroSP @policiafederal SOMOS TODOS BOLSONARO #AMNESTYNOW PARABÉNS SUPER DEPUTADO EDUARDO BOLSONARO HERÓI E ORGULHO NACIONAL https://t.co/x4bale0GUG",1,153,16,0,2,0,0,"",0.9515514373779297,0.0446636825799942,0.0037849450018256903,"positivo"
"ArturFernandoP","2026-01-05","13:01:39","@CombativeAdvoc @VladimirAlves @BolsonaroSP @policiafederal ""cometer um crime"". E ainda sugere estar no ramo da advocacia. 🤣🤣🤣",0,126,16,3,4,0,0,"",0.30630260705947876,0.38672712445259094,0.3069702982902527,"neutro"
"Taina363276720","2026-01-05","12:25:55","@BolsonaroSP @policiafederal Não trabalha não recebe. Acabou a mamata!",0,70,9,0,2,0,0,"",0.008160851895809174,0.12058544903993607,0.8712537288665771,"negativo"
"NanyCensurada","2026-01-05","11:08:41","@BolsonaroSP @policiafederal O UNICO deputado honrado deste país. Se tivéssemos 10 homens como vc no congresso não estaríamos na lama que estamos. Parabéns Dudu querido, que Deus te proteja!",0,190,29,0,2,0,0,"",0.9647501707077026,0.021400008350610733,0.013849799521267414,"positivo"
"adebrasil","2026-01-05","10:04:05","@BolsonaroSP @policiafederal Abdiquei de todos os privilégios parlamentares..... Além da frase horrível ainda é mentira,pq foi cassado",0,134,17,0,2,0,0,"",0.0030052796937525272,0.00734642194584012,0.9896482825279236,"negativo"
"WillianDomu","2026-01-05","05:29:53","@BolsonaroSP @policiafederal Perdeu prayboi kkk",0,47,5,0,2,0,0,"",0.0722818598151207,0.8196030855178833,0.10811507701873779,"neutro"
"geovanecard","2026-01-05","05:16:26","@RicardoSagulo @BolsonaroSP @policiafederal Vontade de Deus é essa família na cadeia",0,84,11,0,3,0,0,"",0.09798841923475266,0.31218868494033813,0.5898228287696838,"negativo"
"Vandapropatria","2026-01-05","05:11:25","@BolsonaroSP @policiafederal Vc ta certíssimo, isso é uma cilada.",0,65,9,0,2,0,0,"",0.6971142888069153,0.14363370835781097,0.15925194323062897,"positivo"
"Mr_Mago","2026-01-05","04:42:10","@BolsonaroSP @policiafederal Querem que você trabalhe. Cambada de perseguidores heim. Você já pensou na hipótese do Presidente Tramp te deportar?",0,145,20,0,2,0,0,"",0.005448171868920326,0.06922073662281036,0.9253310561180115,"negativo"
"Mr_Mago","2026-01-05","04:33:19","@BolsonaroSP @policiafederal Você é tão arrogante quanto seu Pai",0,64,9,0,2,0,0,"",0.00565217062830925,0.01703493483364582,0.9773128032684326,"negativo"
"Carmenfuhrmann","2026-01-05","00:44:12","@clarke_de_souza @BolsonaroSP @policiafederal Sério isso???",0,59,5,0,3,0,0,"",0.008666059002280235,0.08132576197385788,0.9100081324577332,"negativo"
"Carmenfuhrmann","2026-01-05","00:43:02","@BolsonaroSP @policiafederal 😂😂😂😂 Então pra que tu fez concurso? Trabalho é o problema",0,86,13,4,2,0,0,"",0.15436960756778717,0.2970554232597351,0.5485750436782837,"negativo"
"SanioCaval53064","2026-01-05","00:08:08","@BolsonaroSP @policiafederal Vc e um sem noção..",0,48,7,0,2,0,0,"",0.004195437766611576,0.011139041744172573,0.98466557264328,"negativo"
"cassianogpaiva","2026-01-04","23:33:04","@BolsonaroSP @policiafederal O cara usando fundo falso!!! kkkkkkkkkk",0,68,8,0,2,0,0,"",0.020592235028743744,0.22856445610523224,0.7508432865142822,"negativo"
"suelcimorales","2026-01-04","22:54:01","@BolsonaroSP @policiafederal Na verdade vc tá com o koo na mão.",0,63,11,0,2,0,0,"",0.015955422073602676,0.16637562215328217,0.8176690340042114,"negativo"
"Lizzipires","2026-01-04","22:50:10","@Lkcoment @BolsonaroSP @policiafederal Ate chegar em vocês!",0,59,7,0,3,0,0,"",0.09346985071897507,0.891635537147522,0.014894629828631878,"neutro"
"RuteBurlamaqui","2026-01-04","22:49:22","@BolsonaroSP @PsouzaWaldir @policiafederal 👏👏👏👏",0,47,4,4,3,0,0,"",0.8320222496986389,0.14851097762584686,0.019466834142804146,"positivo"
"Lizzipires","2026-01-04","22:34:19","@AnarcoFino @BolsonaroSP @policiafederal Vc nesse chapeuzinho malandro, gosta?",0,78,8,0,3,0,0,"",0.3413311243057251,0.6372660398483276,0.021402884274721146,"neutro"
"CleonesRibeiro","2026-01-04","22:30:25","@BolsonaroSP @policiafederal Esse bandidinho miliciano tem que ser preso",0,72,9,0,2,0,0,"",0.006783321034163237,0.01612626574933529,0.9770903587341309,"negativo"
"Lizzipires","2026-01-04","22:22:36","@marioadolfo @BolsonaroSP @policiafederal E são mesmo!",0,54,6,0,3,0,0,"",0.3677928149700165,0.5555841326713562,0.07662303745746613,"neutro"
"birobson","2026-01-04","22:00:52","@BolsonaroSP @policiafederal Escrivão! https://t.co/uIX7CTDAD3",1,62,4,0,2,0,0,"",0.29744669795036316,0.6812700033187866,0.021283242851495743,"neutro"
"MPITTAPINHO","2026-01-04","21:30:33","@NP__Oficial @BolsonaroSP @policiafederal Esquerdista já vem sem cérebro de fábrica.",0,84,10,0,3,0,0,"",0.007335505913943052,0.14028067886829376,0.8523838520050049,"negativo"
"RamosElieb73325","2026-01-04","21:21:41","@JulioFDRezende @BolsonaroSP @policiafederal Você vai volta ficar tranquilo povo brasileiro patriotas nós nunca vamos esquecer de você Eduardo bolsonaro",0,152,19,0,3,0,0,"",0.38049447536468506,0.5114084482192993,0.10809705406427383,"neutro"
"vince_morais","2026-01-04","21:17:01","@BolsonaroSP @policiafederal https://t.co/egYdeRgjeX",1,52,3,0,2,0,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"paulotessari","2026-01-04","21:12:59","@BolsonaroSP @policiafederal Você não pode pedir afastamento para interesse particular?",0,87,10,0,2,0,0,"",0.03180185705423355,0.7970151305198669,0.17118296027183533,"neutro"
"Calistaeris","2026-01-04","21:00:53","@BolsonaroSP @policiafederal Vai trabalhar vagabundo",0,52,5,0,2,0,0,"",0.007590020075440407,0.02255784533917904,0.9698521494865417,"negativo"
"SALESDARCY","2026-01-04","20:51:26","@BolsonaroSP @policiafederal Fala aí ex-putinha do Trump ....kkkkkk",0,67,8,0,2,0,0,"",0.034790124744176865,0.5929917097091675,0.37221816182136536,"neutro"
"rafabiomar","2026-01-04","20:47:15","@BolsonaroSP @policiafederal Ué. Servidor público quer ficar na mamata e ainda acha ruim quando o empregador cobra",0,114,17,0,2,0,0,"",0.006262454204261303,0.050052210688591,0.9436853528022766,"negativo"
"JPSiqNeto","2026-01-04","20:39:58","@BolsonaroSP @policiafederal Kkkkk manezão perdeu a boquinha! Se quiser receber vai ter que trabalhar ou pedir um pix pro papai presidiário.",0,140,21,0,2,0,0,"",0.012320388108491898,0.09387067705392838,0.8938088417053223,"negativo"
"Leonard73090801","2026-01-04","20:26:53","@BolsonaroSP @policiafederal Rato golpista covarde fugiu com medo.",0,66,8,0,2,0,0,"",0.0039871372282505035,0.01535826362669468,0.9806546568870544,"negativo"
"MaxMello66","2026-01-04","20:26:43","@BolsonaroSP @policiafederal Caro deputado Eduardo Bolsonaro, em outubro, nós brasileiros, honestos e de bem, iremos mudar isso tudo, votando em Flávio Bolsonaro para presidente e em mais que 80% do congresso de conservadores de direita e ai o Brasil irá voltar aos trilhos. ""Deus, pátria e família!"" https://t.co/V6wiU6uvVY",1,324,48,0,2,0,0,"",0.12175823003053665,0.7675790786743164,0.11066264659166336,"neutro"
"SantoroGuga","2026-01-04","20:13:15","@BolsonaroSP @policiafederal E fomos traídos por @realDonaldTrump. Lamentável.",0,78,8,0,3,0,0,"",0.004142700228840113,0.014638387598097324,0.9812188744544983,"negativo"
"Queen0fdsaster","2026-01-04","19:28:45","@BolsonaroSP @policiafederal Mas ele não abdicou, ele perdeu mesmo.",0,67,9,0,2,0,0,"",0.03094630129635334,0.7377682328224182,0.2312854677438736,"neutro"
"rapha81t","2026-01-04","19:13:13","@BolsonaroSP @policiafederal Vai trabalhar seu vagabundo",0,56,6,0,2,0,0,"",0.007786900736391544,0.01880773901939392,0.9734053611755371,"negativo"
"taxigranny","2026-01-04","19:07:46","@BolsonaroSP @policiafederal Parabens!!!",0,40,3,0,2,0,0,"",0.9368429780006409,0.05652211233973503,0.006634986028075218,"positivo"
"celsoaragon","2026-01-04","19:05:23","@BolsonaroSP @policiafederal Trabalhar nada. Vagabundo",0,54,5,0,2,0,0,"",0.008530870079994202,0.02906767651438713,0.9624015092849731,"negativo"
"ViEdson","2026-01-04","18:54:43","@BolsonaroSP @policiafederal Foda-se!!!",0,39,3,0,2,0,0,"",0.15356074273586273,0.48902085423469543,0.35741835832595825,"neutro"
"EudeDa73547","2026-01-04","18:49:40","@BolsonaroSP @policiafederal Vai trabalhar vagabundo.",0,53,5,0,2,0,0,"",0.007806098088622093,0.02180146612226963,0.9703924655914307,"negativo"
"advdiogovolt","2026-01-04","18:43:27","@BolsonaroSP @policiafederal Pra você é fácil dizer isso, já que não tem honra nenhuma!",0,87,14,0,2,0,0,"",0.007250222843140364,0.0891636535525322,0.9035861492156982,"negativo"
"beshalowcarb","2026-01-04","18:37:02","@BolsonaroSP @policiafederal Volta Dudu! 🤣",0,42,5,1,2,0,0,"",0.7644211649894714,0.12669944763183594,0.10887937247753143,"positivo"
"MrciadoSocorro9","2026-01-04","18:23:39","@JosJac5 @BolsonaroSP @policiafederal Só se for pra vc que já imagino o tipo de caráter que tem",0,95,17,0,3,0,0,"",0.028152232989668846,0.1644153743982315,0.8074323534965515,"negativo"
"MrciadoSocorro9","2026-01-04","18:22:53","@BolsonaroSP @policiafederal Sim, tu és melhor do que qualquer trabalhador é? Quer ficar recebendo sem trabalhar? Onde existe essa legislação que só serve pra vc ? Vem logo ocupar o teu cargo covarde",0,199,33,0,2,0,0,"",0.0189188364893198,0.02687206119298935,0.95420902967453,"negativo"
"slucio21","2026-01-04","18:11:16","@BolsonaroSP @policiafederal Já deu entrada no SEGURO DESEMPREGO. 😂 😂 😂 😂 😂",0,75,13,5,2,0,0,"",0.5820251107215881,0.3419737219810486,0.07600114494562149,"positivo"
"BrazilianGirlLu","2026-01-04","18:09:35","@BolsonaroSP @policiafederal 👏🏼👏🏼👏🏼",0,35,3,3,2,0,0,"",0.7801835536956787,0.19779260456562042,0.022023826837539673,"positivo"
"nadoferreira","2026-01-04","17:54:10","@DaltonMachadoG @BolsonaroSP @policiafederal Definição de baba ovo...",0,69,7,0,3,0,0,"",0.006667283363640308,0.028340589255094528,0.964992105960846,"negativo"
"Julia_Alves_10","2026-01-04","17:54:09","@BolsonaroSP @policiafederal Que dó. Vai te federal bananinha maldito",0,69,9,0,2,0,0,"",0.004454271402209997,0.007818447425961494,0.9877272844314575,"negativo"
"EvanilsonDias2","2026-01-04","17:49:13","@BolsonaroSP @policiafederal Cara para usar o que estás usando. Está te fazendo muito mal! 🤣🤣",0,93,15,2,2,0,0,"",0.7329621315002441,0.17120540142059326,0.09583243727684021,"positivo"
"SrgioMagnoPime1","2026-01-04","17:41:36","@BolsonaroSP @policiafederal Sujeito puxou o Pai. Desprovido de inteligência.",0,77,9,0,2,0,0,"",0.005054472479969263,0.032966405153274536,0.96197909116745,"negativo"
"GleiceMarquesG1","2026-01-04","17:38:03","@BolsonaroSP @policiafederal Emprego, pois é vc nunca gostou de trabalhar",0,73,10,0,2,0,0,"",0.018288539722561836,0.4474897086620331,0.5342218279838562,"negativo"
"o_docente","2026-01-04","17:32:32","@BolsonaroSP @policiafederal Patético. Você já está no ralo da história, seu podre.",0,83,12,0,2,0,0,"",0.004271578975021839,0.010217306204140186,0.9855111837387085,"negativo"
"Fernand44616431","2026-01-04","17:18:15","@BolsonaroSP @policiafederal Vai trabalhar, vagabundo!",0,54,5,0,2,0,0,"",0.007706885691732168,0.021887026727199554,0.9704060554504395,"negativo"
"kikitoz171","2026-01-04","16:59:42","@BolsonaroSP @policiafederal só otário bota fé nas palavra deste vagabundo!",0,75,10,0,2,0,0,"",0.005589949898421764,0.012858448550105095,0.9815515875816345,"negativo"
"inezmedeiros","2026-01-04","16:55:31","@papel_em_branco @BolsonaroSP @policiafederal Abdicou???? Kkk Kara vc foi cassado! Sem direito a falar uma sílaba, na política vc enterrou sua vida pra ficar falando besteira. Vai se despedindo dessa arrogância toda, sua extradição tá quase...",0,243,35,0,3,1,0,"",0.00969462376087904,0.02703102119266987,0.9632743000984192,"negativo"
"FbioMattio57910","2026-01-04","16:54:43","@BolsonaroSP @policiafederal Tem quem venda a própria mãe por um cargo público.",0,79,12,0,2,0,0,"",0.01524257380515337,0.6243265867233276,0.36043086647987366,"neutro"
"LindomarGomesL3","2026-01-04","16:48:21","@BolsonaroSP @policiafederal Kkkkkkkkkkkkk. Cagão.",0,50,4,0,2,0,0,"",0.0035657368134707212,0.006639990955591202,0.9897941946983337,"negativo"
"inezmedeiros","2026-01-04","16:45:57","@BolsonaroSP @policiafederal Ah vence!!! Bananinha vc não tem vergonha nessa cara de ficar fazendo Lives dizendo tanta bobagem? Vc só tá se enterrando num abismo sem volta. Precisa ter inteligência, pra saber que silenciar pode ser a melhor saída...",0,249,39,0,2,0,0,"",0.018074115738272667,0.028741342946887016,0.9531846046447754,"negativo"
"euguifrancomg","2026-01-04","16:41:19","@BolsonaroSP @policiafederal Acorda pra vida, cara! Seu pai está preso porque cometeu crimes! Você perdeu seu mandato porque não trabalhou, e foi intimado a trabalhar na PF porque (por incrível que pareça) é concursado. Se não tá afim de trabalhar, é só abrir mão do seu concurso.",0,280,47,0,2,0,0,"",0.02612433210015297,0.1344756931066513,0.839400053024292,"negativo"
"LuizaDiaas","2026-01-04","16:32:06","@BolsonaroSP @policiafederal Não dá pra acreditar num cara que vai pros EUA, conspirar contra o BR, passa a maior vergonha, ver o Trump chamar o pai de perdedor, falar em honra.",0,177,31,0,2,0,0,"",0.0036419450771063566,0.009802929125726223,0.9865550994873047,"negativo"
"leoriell1001","2026-01-04","16:26:52","@BolsonaroSP @policiafederal Cara, os comentários são 80% contra a famílicia.....acho que a batata de vcs queimou......",0,119,16,0,2,0,0,"",0.0080565195530653,0.06940902024507523,0.9225344657897949,"negativo"
"Albu49126Amauri","2026-01-04","16:23:33","@BolsonaroSP @policiafederal Que horra tu tem maluco ? Tu foste pra os EUA prejudicar o Brasil e agora tá comedo de volta se voltar vai pra cana igual o papi",0,157,30,0,2,0,0,"",0.004345633089542389,0.02483334019780159,0.9708211421966553,"negativo"
"leoriell1001","2026-01-04","16:19:10","@BolsonaroSP @policiafederal Mano não sei qual teu problema, mas esquece o Brasil, tu só vai poder colocar os pés aqui daqui uns 50 anos.",0,137,24,0,2,0,0,"",0.010071216151118279,0.09714072197675705,0.8927880525588989,"negativo"
"LuziaCamilo2","2026-01-04","16:00:41","@BolsonaroSP @policiafederal O lesa-pátria pátria,sem vergonha querendo se aproveitar,foragido como bandido ,volta pra assumir seus crimes! Mentiroso!",0,150,17,0,2,0,0,"",0.0035624620504677296,0.009205115027725697,0.9872323274612427,"negativo"
"rogerioalfre","2026-01-04","15:59:39","@BolsonaroSP @policiafederal Beleza. Então vai entregar pizza aí nos EUA.",0,73,10,0,2,0,0,"",0.6880266070365906,0.25289595127105713,0.059077464044094086,"positivo"
"LindomarGomesL3","2026-01-04","15:58:00","@BolsonaroSP @policiafederal Kkkkkkkkkk. Chupa que a cana é doce.",0,65,9,0,2,0,0,"",0.10340944677591324,0.7826563119888306,0.11393427103757858,"neutro"
"Moniquinha2365","2026-01-04","15:51:27","@BolsonaroSP @policiafederal Vai trabalhar vagabundo !!!! 🤮🤮🤮🤮🤮🤮",0,64,7,6,2,0,0,"",0.007216806057840586,0.012312142178416252,0.9804710149765015,"negativo"
"vinigalvaobsb","2026-01-04","15:39:49","@BolsonaroSP @policiafederal Tu vai para os aeroportos só pra gravar vídeo é???",0,79,12,0,2,0,0,"",0.027426160871982574,0.4319942593574524,0.5405795574188232,"negativo"
"sallsousa07","2026-01-04","15:36:46","@BolsonaroSP @policiafederal Mentira seu bananinha covarde, pq não pediu exoneração já que não se importa com o concurso, não vem rever teu concurso pq é um frouxo igualmente o pai, se fosse homem viria e defenderia tua honra já que jura que tem, mas como é um verme continuará escondido seu bosta.",0,298,52,0,2,0,0,"",0.005513863638043404,0.010508459992706776,0.9839776158332825,"negativo"
"RicardoYoungS","2026-01-04","15:36:03","@BolsonaroSP @policiafederal Você é um perdedor apesar de talentoso. Aproveite a virada e reoriente sua vida. Pousar de vítima deu. Naufragar com seu pai não é mais opção. Repense seu destino. Por enquanto esse não é o seu carma é o seu calvário.",0,246,43,0,2,0,0,"",0.02940276823937893,0.09395933151245117,0.8766379356384277,"negativo"
"gabimsol","2026-01-04","15:33:06","@defwooni @BolsonaroSP @policiafederal sdds irmoa",0,49,5,0,3,0,0,"",0.34486356377601624,0.18682652711868286,0.4683099687099457,"negativo"
"FabioMarceloMa7","2026-01-04","15:31:03","@DavidTeixe62028 @BolsonaroSP @policiafederal Quem ri somos nós de direita. Zero seguidor, como esses esquerdopatas tem robôs. Impressionante a grana nossa que gastam para nada kkkkkkkkkkkk",0,189,25,0,3,0,0,"",0.03872164711356163,0.08280264586210251,0.8784756660461426,"negativo"
"Welling90631911","2026-01-04","15:27:01","@BolsonaroSP @policiafederal Você não abdicou, jumento, você foi cassado e se não voltar ao empreguinho, será demitido!!",0,120,17,0,2,0,0,"",0.017354609444737434,0.34306296706199646,0.6395824551582336,"negativo"
"Jurandy152562","2026-01-04","15:25:14","@BolsonaroSP @policiafederal Vai vender hambúrguer cara, para de encher o saco!",0,79,11,0,2,0,0,"",0.004318792838603258,0.011753570288419724,0.9839276671409607,"negativo"
"Adriano95413572","2026-01-04","15:20:23","@BolsonaroSP @policiafederal Fica aí Eduardo. O tempo para agente acabar com essa ditadura do judiciário vai acabar. Deus te abençoe e toda família Bolsonaro 🇧🇷🇧🇷",0,162,25,2,2,0,0,"",0.7775468826293945,0.18666216731071472,0.035791005939245224,"positivo"
"Dirleynigra","2026-01-04","15:15:40","@BolsonaroSP @policiafederal Essa é a esperança suas agora? kkk Eleições - Derrotados Fraude nas urnas - Derrotados Golpe - Derrotados Anistia - Derrotados Papai Livre- Derrotados Trump salva meu pai - Derrotados Deputados manter cargo - Derrotados Vocês não cansam de passar vergonha! #semanistia",0,297,44,0,2,0,0,"",0.016678985208272934,0.050848353654146194,0.9324726462364197,"negativo"
"thonytom","2026-01-04","15:08:33","@clarke_de_souza @BolsonaroSP @policiafederal Quem está com ele e golpista também!",0,82,10,0,3,0,0,"",0.008837907575070858,0.08914987742900848,0.902012288570404,"negativo"
"thonytom","2026-01-04","15:06:33","@BolsonaroSP @policiafederal Tá bom, golpista fujao!",0,52,6,0,2,0,0,"",0.005995556246489286,0.028876004740595818,0.9651283621788025,"negativo"
"imlocm","2026-01-04","15:05:07","@BolsonaroSP @policiafederal Para de chorar, isso tudo só porque te mandaram voltar pro trabalho, eu hein. sai daí, maluco",0,122,19,0,2,0,0,"",0.002798471599817276,0.01119497511535883,0.9860066175460815,"negativo"
"AlusioPorfirio1","2026-01-04","15:04:58","@BolsonaroSP @policiafederal https://t.co/PgO0J2Q3aV",1,52,3,0,2,0,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"ThaisBatelli","2026-01-04","15:04:18","@BolsonaroSP @policiafederal https://t.co/egNxDJHb0F",1,52,3,0,2,0,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"denisinhadf","2026-01-04","14:59:28","@betotupinamba @BolsonaroSP @policiafederal Só faltou a música da abertura kkkkk",0,80,10,0,3,0,0,"",0.18200746178627014,0.720641553401947,0.09735094755887985,"neutro"
